de,dsb
Sie widerspiegelt die Verbundenheit mit der Heimat und mit dem Glauben.,Wóna wótbłyšćujo zwězanosć z domownju a z wěru.
Add-ons, Dodanki
Auf halber Strecke drehte sich der Inder plötzlich zu ihnen um.,Na poł droze jo se Indaŕ naraz wobrośił.
"◦ Schulausflüge, ","◦ šulske wulěty, "
Die Aufgaben des Intendanten sind hier aufgeschrieben.,Nadawki intendanta su how napisane.
Sie würden die evangelische sorbische Tracht anziehen lassen.,By se dali ewangelsku serbsku drastwu woblekaś.
"Achtung: Die Zeugnisbewertung ist keine Anerkennung, sondern eine vergleichende Einstufung. ","Glědajśo: Pógódnosćenje wopisma njejo pśipóznaśe, ale pśirownujuce zastopnjowanje. "
◦ Aufbaukurs Tank           45 Minuten,◦ natwaŕny kurs k temje tank         45 minutow
Die LEAG benötigt den Bodenschatz für die Bewirtschaftung von Block R im Kraftwerk Boxberg.,LEAG trjeba zemski pókład za wobgóspodarjenje bloka R hamorskeje milinaŕnje.
Ich möchte euren Schornstein reinigen. ,Com waš wugeń wurěšyś. 
Zum Vermögen zählen beispielsweise: ,K zamóženju lice se na pśikład: 
"Er ärgerte sich, wenn das „verflixte Mädchen“ dabei einschlief.","Wón jo se rozgniwał, gaž  „njewjedrowe źowćko“ pśi tom wusnuło njejo."
Mit ihnen wird das Kirchenjahr erlebbar.,Z nimi bywa cerkwine lěto zbadne.
Vom Gefühl her dachte ich es waren 2 m. ,"Wót zacuśa sem som se myslił, až lažy 2 m wusoko. "
Auch bei Wahlbekanntmachungen kann die Gemeinde die Arbeit von Übersetzern ausreichend honorieren.,Teke pśi wólbnych wózjawjenjach móžo komuna źěło pśełožowarjow dosegajucy honorěrowaś.
Sie brauchen künftig gute Verkehrsanbindungen.,Wóni trjebaju pśichodnje dobre wobchadowe zwiski.
Es gab eine kurze Pause. ,Jo była krotka pśestawka. 
•  gegebenenfalls Antrag auf Gebührenbefreiung,•  ewentuelnje póžedanje wó wulichowanje wót płaśonkow
Am Rande von Zerna werden neue Siedlungen gegründet.,Na kšomje Sernjan  budu se nowe sedlišća załožowaś.
Jeder soll täglich das Vaterunser und Gegrüßet seist du Maria beten.,Kuždy měł se stawnje módliś Wóścenaš a Strowasmariju.
In dieser Zeit leiten wir das Wasser aus dem Kraftwerk in die Senke ein.,W tom casu wjeźomy wódu z milinaŕni do dołowišća.
Gemeinsamkeit erfordert jedoch bestehende Strukturen und schon wirkende Akteure anzuerkennen.,"Zgromadnosć pak sebje pomina, wostojece struktury a južo statkujucych akterow pśipóznaś."
In Bautzen hatten wir eine sehr schöne Beratung.,W Budyšynje smy wjelgin rědne wobradowanje měli.
Für die Betroffenen des Knappensees bedeutet das also glücklicherweise die Grenze.,Za pótrjefjonych Hórnikecańskego jazora jo to pótakem na gluku granica.
Die Zahl der Anmeldungen übertrifft die Erwartungen des Sächsischen Kultusministeriums.,Licba procowanjow pśesegujo wócakowanja sakskego kultusowego ministaŕstwa.
"Noch aber stellen wir fest, dass die sorbische Sprache immer mehr ausstirbt.","Hyšći pak zwěsćujomy, až serbšćina źeń a wěcej wóteměra."
Es darf als Dienstleister der Kommunen nicht kommerziell für uns arbeiten.,Wón njesmějo ako słužbywugbaŕ komunow komercielnje za nas źěłaś.
Ob der Vorstand der Domowina nach der Versammlung seinen Kurs neu ausrichten muss?,Lěc musy pśedsedaŕstwo Domowiny pó zgromaźinje swój kurs znowego wusměriś?
Das jetzige Wörterbuch verwenden wir schon seit zwanzig Jahren.,Tuchylny słownik wužywamy južo dwaźasća lět.
"Der Pfifferling ist orangegelb  mit einem trichterförmigen, gewellten Pilzhut.","Kokoška jo oranžožołta z lejkateju, žwałateju griboweju głowku."
"Im Bautzener Sorbischen Gymnasium sprechen sie darüber, streiken aber nicht.","W budyšyńskem Serbskem gymnaziju wó tom powědaju, ale nještrajkuju."
Für die Kommunen wurde die neue Kategorie „Kommunen“ geschaffen.,Za komuny jo se nowa kategorija „komuny“ zarědowała.
Informationen des Bundesjustizministeriums zum Erben und Vererben ,Informacije zwězkowego ministaŕstwa za justicu k derbnjenju a zawóstajenju derbstwa 
 die ausländischen Zulassungspapiere und Kennzeichenschilder, wukrajne papjery k pśipušćenju a toflicki z wobznamjenjenim
"Julka, Alenka und Witko kommen in einen großen Park. ","Julka, Alenka a Witko pśijědu do wjelikego parka. "
Das Dresden-Meißener Bistum hat zusätzlich eine Unfallversicherung.,Drježdźańsko-Mišnjańske biskupstwo ma pśidatnje  zawěsćenje pśez znjeglucenje.
Dabei hat er die Bedeutung der Minderheiten gewürdigt.,Pśi tom jo wón wuznam mjeńšynow gódnośił.
Das betonte die brandenburgische Staatsekretärin für Infrastruktur in der vergangenen Woche.,To jo wuzwignuła bramborska statna sekretaŕka za infrastrukturu slědny tyźeń.
§ 5 Brandenburgisches Lehrerbildungsgesetz – BbgLeBiG,§ 5  bramborskeje kazni za wuwucenje wucabnikow – BbgLeBiG
Die Ministerin hat dem Direktor Dr. Hauke Bartels den Förderbescheid übergeben.,Ministaŕka jo direktoroju dr. Hauke Bartelsoju spěchujuce zdźělenje pśepódała.
Deren Gemeinderäte sind ja demokratisch gewählt.,Jich gmejnske rady wšak su demokratiski wólone.
Mit der Maßnahme wollen der Landkreis und der ZVON die Verkehrsinfrastruktur verbessern.,Z napšawu cotej wokrejs a ZVON wobchadnu infrastrukturu pólěpšyś.
Von seinem Leben ist nur wenig bekannt.,Wó jogo žywjenju jo mało znate.
Mit der Umsiedlung von Mühlrose verliert die Kommune rund 200 Einwohner.,Z pśesedlenim Miłoraza zgubijo komuna něźi 200 wobydlarjow.
Wir haben nachgefragt.,My smy se dopšašowali.
"Allmächtiger, ewiger Gott!","Wšogomócny, nimjerny Bog!"
"Das Thema, Streik für den Klimaschutz, ist jedoch allgegenwärtig.","Tema, štrajk za šćit klimy, pak jo wšuźi w rozgronje."
Die Reformation war nicht die einzige Form der Bewegungen.,Reformacija njejo była jadnučka forma gibanjow.
Dort berühren sie die Uhren nicht.,Tam se zegery njedotyknu.
Die Schirmherrschaft hatte die sächsische Ministerin für Gleichstellung und Integration übernommen.,Patronat jo sakska ministaŕka za rownostajenje a integraciju pśewzeła.
Mit diesen kann ich mich als meine Heimat identifizieren.,Z toś tyma móžom se ako ze swójeju domownju identificěrowaś.
"Wir wollen jungen sorbischen Musikern ermöglichen, als Straßenmusiker aufzutreten.","Comy młodym serbskim muzikarjam zmóžniś, ako drogowe gerce wustupiś."
Mit dem so genannten Familienpass ist der Eintritt für die Kinder kostenlos.,Z tak pomjenjonym familiarnym pasom jo zastup za źiśi dermotny.
Im vergangenen Jahr wurden die Fertigkeiten von 15-jährigen Schülern weltweit festgestellt.,Łoni su dospołnosći 15-lětnych wuknikow pó cełem swěśe zwěsćili.
Der Familienpark in Großräschen soll demnächst einen Spielplatz erhalten.,Familijowy park w Ranju ma pśichodnje grajkanišćo dostaś.
Am Sonntag erklingt das Sorbische Requiem von Korla Awgust Kocor in der Kittlitzer Kirche.,Njeźelu zazni Serbski rekwiem Korla Awgusta Kocora w Ketličanskej cerkwi.
Für manche wurde das später auch zum Beruf.,Za wšake jo to pózdźej teke pówołanje było.
Dann werden nämlich von Samstag auf eben diesen Sonntag die Uhren umgestellt.,Pótom se rozmjej wót soboty na wónu njeźelu zegery pśestaja.
"WUHLADKO stellt die sorbischen Kandidaten vor, die sich für die Aufgabe des Bürgermeisters bewerben.","WUHLADKO pśedstajijo serbskich kandidatow, kenž se za nadawk šołty pśizjawiju."
Dafür werde ich ihnen immer dankbar sein.,Za to som jima na pśecej źěkowny.
An der Wand hängen alte Schlittschuhe.,Na sćěnje wise stare zelezka.
Aus den Erfahrungen der bisherigen Anwerbungen will man lernen.,Z nazgónjenjow doněntejšnych nawabjenjow kśě wuknuś.
"Web-Adressen werden in der Regel so geschrieben. Stellen Sie sicher, dass Sie schrägliche Striche verwenden."," Web-adrese pišu se zwětšego tak. Zawěsććo, až wužywaśo nakósne smužki. "
Mit dem Moped auf den Berg fahren.,Z mopedom na góru jěś.
Am längsten gefeiert hat man auf dem Hof Zahrodnik/Grutka.,Nejdlej su swěśili  na Zagrodnikojc / Grutkojc dwórje.
"Aus ihr kam Rauch, der die Bienen beruhigte.","Z njogo jo kuŕ pśišeł, kótaryž jo pcołki změrował."
"• Auskunft des Insolvenzgerichts, ob ein Verfahren eröffnet wurde ","• informacija insolwencowego sudnistwa, lěc proces pśeśiwo Wam jo se wótwórił "
•  persönliches Erscheinen: nein,•  Póžedaŕ/-ka njemusy se wósobinski zjawiś.
Nächstes Jahr im Frühjahr wollen die Lehrer und Schüler in den Schulkomplex einziehen.,Znowa nalěto kśě wucabniki a wukniki do šulskego kompleksa zaśěgnuś.
In Tschechien bekommt man fast überall in der Gaststätten eine dreisprachige Speisekarte.,W Českej dostawaš namało wšuźi w gósćeńcach tšojorěcnu jěźnu kórtu.
"Meist beginnen sie mitten in der Nacht, weil es lange dauert.","Zwětšego chapjaju srjejź nocy, dokulaž to dłujko trajo."
◦ an denen Sie ein Pfandrecht besitzen oder ,◦ kótarež su wu Was pódsajźone abo 
Zu den Arbeitsaufgaben gehört die Unterstützung der sorbischen Vereine bei der Projektplanung.,K źěłowym nadawkam słuša pódpěra serbskich towaristwow pśi planowanju projektow.
Die digitale Variante wird umfangreicher sein.,Digitalna warianta buźo wobšyrnjejša.
"Majestät, wo genau ist dieser Ort bei Hochkirch?","Majestet, źo jo toś to  pólo blisko Bukec dokradnje?"
So können wir bestimmte Themen auch ins Parlament einbringen.,Tak móžomy wěste temy teke do parlamenta njasć.
Wir entsprechen den Wünschen von Propst Hrjehor.,Wótpowědujomy žycenjam promšta Hrjehorja.
In der Oberschule arbeiten die Maler und Trockenbauer.,We wušej šuli źěłaju mólarje a twaŕce.
Zugleich werden Interessenten zahlreiche Möglichkeiten der freien Mitarbeit geboten.,Zrazom póbituju zajmcam wjele móžnosći lichego sobuźěła.
"Eine weitere Maßnahme, welche die Verantwortlichen beschäftigt, ist das Landmarken-Projekt.","Dalšna napšawa, kótaraž zagronitych zaběra, jo projekt krajnych znamkow."
In den vergangenen Jahren wurden diese von knapp hundert Künstlern angefertigt.,W zachadnych lětach su je pśisamem sto mólarjow zgótowało.
"Wohl wissend, woher die Wärme kommt.","Derje wěźecy, wótkul śopłota pśiźo."
Mehrmals erhielt er das Vertrauen als Bautzener Kreisrat der PDS-Fraktion.,Wěcej razow jo dostał dowěru ako budyšyński wokrjesny raźc frakcije PDS.
Das sagte Präsident des Bundesverbandes der Nachrichtenagentur dpa.,To jo gronił prezident zwězka powěsćaŕni dpa.
Das Wissen über die Sorben ist sehr umfangreich.,Wěda wó Serbach jo wjelgin wobšyrna.
"Wir karren Frösche, die nicht hinunterhüpfen dürfen. ","Wjeźomy žaby, kótarež njesměju z kary skócyś. "
"Dreimal wurde versucht, eine Diskussion zwischen Ober- und Niederlausitz anzuknüpfen.",Tśi raze su wopytali diskusiju mjazy Górneju a Dolneju Łužycu nawězaś.
Der Intendant der Hamburger Sinfoniker hat das Projekt angeregt und er koordiniert es.,Intendant Hamburgskich sinfonikarjow jo projekt nastorčił a jen koordiněrujo.
Wegen eines solchen kleinen Wahlkreises kenne ich viele Wähler persönlich.,Dla takego małego wólbnego wokrejsa znaju wjele wólarjow wósobinski.
In der Nähe von Döhlen ist eine Talsperre.,W bliskosći Delan jo gaśeński jazor.
Andererseits sind sie auf der ganzen Welt verstreut.,Na drugem boce su pó cełem swěśe rozbrojeni.
Das war mit Blick auf den Textumfang notwendig.,To jo glědajucy na wobměra teksta trjebne.
"Und wer weiß, wieviel Stufen noch auf ihn warteten?","A chto wě, wjele schójźeńkow hyšći  na njogo caka?"
Die Dämmerung des erwachenden Tages leuchtete klar am Morgenhimmel auf.,Jutšne zorja wócuśujucego dnja su zaswěśili bytśe na zajtšnem njebju.
"Alles, was ich jetzt sage, kann man mir später vorwerfen werden.","Wšykno, což něnto gronim, mógu mě pózdźej wumjatowaś."
Die Besucher können dort den Künstlern bei der Arbeit zuschauen.,Woglědowarje mógu tam wuměłcam pśi źěle pśiglědowaś.
"Wenn du um die mittlere Vitrine herumgehst, siehst du es.","Jolic źoš wokoło srjejźneje witriny, to wiźiš."
Wie wird die Zukunft Sachsens nach der Wahl im September sein?,Kaki buźo pśichod Sakskeje pó wólbach w septembrje?
Angefertigt wurde sie ursprünglich in der Glockengießerei Gruhl in Kleinwelka.,Zgótowała jo jen spócetnje Gruhlec lejaŕnja  zwónow w Małem Wjelkowje.
An dieser Stelle lobe ich den Wandel.,Na toś tom městnje chwalim sebje změnu.
Derzeit werden die konkret formulierten Forderungen für die geplanten Änderungen des rechtlichen Rahmens erarbeitet.,Tuchylu naźěłaju konkretnje sformulowane pominanja za pśedwiźone změny pšawniskich nastupnosćow.
In der Zwischenzeit leitet sie als stellvertretende Direktorin die Arbeit der Stiftung an.,W mjazycasu wóna ako zastupujuca direktorka źěło zastojnstwa załožby nawjedujo.
Im Selbststudium lernt er Sorbisch.,W samostudiumje wuknjo wón serbšćinu.
"Die LEAG lässt diese derzeit erarbeiten, was länger dauert, als erwartet.","LEAG dajo take tuchylu naźěłaś, což dlej trajo, nježli wócakowane."
Mit Blick auf den Stand der Vorbereitungen für die Bewerbung von Zittau bin ich zufrieden.,Glědajucy na staw pśigótow za procowanje Žytawy som spokojom.
Der Direktor Dr. Hauke Bartels stellte ihm die wissenschaftliche Einrichtung vor.,Direktor dr. Hauke Bartels jomu wědomnostne zarjadnišćo pśedstajijo.
Im Bewerbungsformular erwartet man eine Kurzbeschreibung des Projekts.,W procowańskem formularje wótcakuju krotke wopisanje projekta.
Schau mal auf diesen großen dicken Baumstamm.,Póglědaj raz na ten wjeliki tłusty štom.
"Das bedeutet, in den Dörfern mehrsprachige Strukturen zu schaffen, betonte der Wissenschaftler.","To wóznamjenijo, na jsach wěcejrěcne struktury wutwóriś, jo wuzwignuł wědomnostnik."
Wer vertritt die Sorben bei der Europeada 2020 in Kärnten in Österreich?,Štó zastupujo Serbow na Europeadźe 2020 w Korutańskej w Awstriskej?
"Gewisse Schwierigkeiten werden wir immer haben, gab er zu.","Wěste śěže stawnje změjomy, wón pśizna."
"Sie fragt sich, woher die ansteigenden Geburtenzahlen kommen.","Wóna se pšaša, wótkul stupajuca licba naroźenjow pśiźo."
Vergiss die Weiterbildung nicht!,Njezabydni na dalejkubłanje!
Warum wollen Sie mit der Familie bleiben?,Cogodla cośo Wy ze swójźbu wóstaś?
Die Lausitzer Bergbaugesellschaft hat dafür fast sieben Millionen Euro aufgebracht.,Łužyske górnistwowe towaristwo  jo za to pśisamem sedym milionow euro nałožyło.
In der Sporthalle montieren sie Heizstrahler.,W sportowej hali montěruju topjeńske promjenjaki.
Der königliche Jäger erschoss ihn dann am 17. März 1818.,Kralojski góńtwaŕ jo jogo pótom 17. měrca 1818 zastśělił.
Die Stiftung wird weiter unterstützt.,Załožba se dalej pódpěrujo.
Gemeinsam mit Ihnen möchten wir Visionen für die Lausitz zusammentragen.,Zgromadnje z Wami comy wizije za Łužycu zběraś.
Zu DDR-Zeiten wurden sie in Lehn bei Hochkirch gezüchtet.,W NDRskem casu su se wóni w Lejnje pla Bukec kubłali.
"Es ist aber nicht die Aufgabe von Schülern, nach Antworten zu suchen.","Njejo pak nadawk wuknikow, za wótegronami pytaś."
"• Sie einen Ausbildungsvertrag abgeschlossen haben,","• maśo  wuwuceńske dogrono wótzamknjone,"
Wie weiter mit dem Radiborer Schloss?,Kak dalej z radworskim grodom?
Auf jeden Fall will man bald eine Lösung finden.,Na kuždy pad kśě rozwězanje skóro namakaś.
•  Per Post erhalten Sie die Entscheidung über Ihren Antrag.,•  To rozsuźenje dostanjośo z postom.
Das Hauptziel ist die Vermittlung der sorbischen Sprache.,Głowny zaměr jo pósrědnjenje serbskeje rěcy.
"Freiheit der Zusammenarbeit ist auch die Freiheit, nicht miteinander arbeiten zu müssen.","Lichota zgromadnego źěła jo teke lichota, až njemusyš gromadu źěłaś."
Ihr Gift  kann beim Menschen zu allergischen Reaktionen führen.,Jeje gad móžo pla luźa k alergiskim reakcijam wjasć.
Damals gehörten die Wälder uns.,Tegdy su słušali góle nam.
"•           klimatischen und hygienischen Situationen am Zielort,","•  ku klimatiskim a hygieniskim wobstojnosćam na městnje Wašeje słužby,"
"Im Norden des Irak werden die Jesiden verfolgt, darum fliehen sie von dort.","Na pódpołnocy Iraka se jezidy pśegónjuju, togodla  wóttam wuběguju."
Sie bleibt dann bis zum Jahresende in Bloischdorf zugänglich.,Wóna wóstanjo pótom až do kóńca lěta w Błobošojcach pśistupna.
Was gibt es darin Neues?,Co jo w njom nowego?
Warum wurde das Grundgesetz verfasst und für wen gilt es?,Cogodla bu zakładna kazń spisana a za kogo płaśi?
Wie damit jetzt umgehen?,Kak z tym něnto wobchadaś?
"Tiefe Teller und beschmutztes Besteck, überall auf ihnen war Schimmel.","Dłymoke talarje a njerěšny rěd, wšuźi na nich jo była  plěseń."
An den Geschichtsprofessor kann ich mich noch genau erinnern.,Na stawizniskego profesora mógu se hyšći  dokradnje dopomnjeś.
Zwei weitere konnten sich die Interessenten genau anschauen.,Dalšnej su mógali sebje zajmce dokradnje woglědaś.
Eine Karte stellt die traditionellen Strecken der einzelnen Prozessionen dar.,Kórta pokazujo tradicionelne cery jadnotliwych procesionow.
Die Idee für das Turnier im Sand hat er ins Leben gerufen.,Ideju za turněr w pěsku jo wón zroźił.
Erforderlich ist Einigkeit in der Region.,Trjebna jo přezjednosć w regionje.
So erlernte er zuerst einen Beruf mit Abitur.,Toś jo wón nejpjerwjej pówołanje z abituru nawuknuł.
Sie hat das Studium mit dem Magister Artium abgeschlossen.,Wóna jo studij z magistrom artium wótzamknuła.
Erster sorbischer Audioguide ist im Grünen Gewölbe.,Prědny serbski awdioguide jo w Zelenem wjelbje.
Die Schwerpunkte werden der deutsch-sorbische Schulkomplex und das Abwasser sein.,Śěžyšća budu nimsko-serbski šulski kompleks a wótwódy.
Sprecht mit Achtung über die Berufe der Handwerker und ihre wichtige Arbeit.,Powědajśo z pócesćenim wó pówołanjach rucnikarjow a jich wažnem źěle.
Die Umsiedlung ist ein schwerer Prozess.,Pśesedlenje jo śěžki proces.
Für die andere Nutzung brauchte die LEAG eine Sondergenehmigung.,Za hynakše wužywanje jo LEAG wósebne pśizwólenje trjebał.
Vom Fluss her dröhnen die Bässe eines der Belgrader Partyboote.,Wót rěki rjagaju base jadnogo z běłogrodskich  partyjowych cołnow.
Der Gründungszuschuss ist nicht einkommensteuerpflichtig. ,Załožaŕski pśidank se njezadankujo. 
Das ist in etwa der gleiche Anteil wie in gekauftem Mineralwasser.,To jo něźi samsny późěl ako w kupjonej mineralnej wóźe.
So versuchen wir den einen oder anderen zu gewinnen.,Tak wopytamy togo abo drugego zdobyś.
Der Institutsdirektor Dr. Hauke Bartels ist sehr zuversichtlich.,Institutny direktor dr. Hauke Bartels jo wjelgin optimistiski.
Er schaffte es. ,Wón jo to zwónoźeł. 
"Er gehört zu den zwölf Aposteln, die Jesus ausgewählt hat.","Słuša k dwanasćo pósołam, kótarychž jo Jezus wuzwólił."
"Er verlangte keine Veränderungen, sie ergaben sich von selbst.","Wón njejo pominał změny, wóni su  wót samego pśišli."
"Er ist Schriftsteller, Dichter und Übersetzer.","Wón jo spisowaśel, basnik a pśełožowaŕ."
"Die nächsten Wahlen im Betrieb sind am Mittwoch, wo sie einen Betriebsrat wählen.","Pśichodne wólby w zawoźe su srjodu, źož wole zawodnu radu."
Neue Mitglieder werben wir mit einem Stand auf Stadtfesten.,Nowych cłonkow wabimy ze pśedawańskeju stojnicu na městnych swěźenjach.
• Verlängerung der Erlaubnis    60  EUR,"• Pódlejšenje dowólnosći: 60,00 euro"
Vor dem Mittagessen wird gemeinsam mit den Kindern ein Spruch in sorbischer Sprache gesprochen.,Do wobjeda zgronijo zgromadnje ze źiśimi gronko w serbskej rěcy.
Der Ausgang ist ungewiss und vielleicht das Ende einer Lausitzer Institution.,Wukónc jo njewěsty a snaź jo to kóńc Łužyskeje institucije.
Danach mussten die Aufnahmen für den Hörstift umgesetzt werden.,Pó tom su měli se nagrawanja za słuchopisak zwopšawdniś.
Er ist verantwortlich für die Auswahlmannschaft.,Wón jo zagronity za mustwo.
Die Gaststätte ist jetzt geschlossen.,Gósćeńc jo něnto zacynjony.
Immer mehr Menschen suchen im Internet nach touristischen Angeboten.,Dalej a wěcej luźi pyta w interneśe za turistiskimi póbitowanjami.
Aus dieser Bemühung entstand eine gesamtdeutsche Bewegung.,Z toś togo procowanja jo nastało cełonimske gibanje.
Alle vier UNESCO-Stätten in der Lausitz vereint das kulturelle Erbe der Sorben. ,Wšykne styri UNESCO-městnosći we Łužycy zjadnośuju kulturne derbstwo Serbow. 
"Manchmal treten Fragen auf, die man nicht konkret antworten kann.","Wótergi su pšašanja, na kótarež njamóžoš konkretnje wótegroniś."
"Ich danke dir, dass du mich gnädig erhalten hast.","Źěkuju se śi, až sy mě miłosćiwje zdźaržał."
Dabei lässt die Lehrerin die Figuren ausschließlich sorbisch sprechen bzw. verstehen.,Pśi tom dajo wucabnica figuram bźezwuwześnje serbski powědaś resp. rozměś.
Am Dienstag ist er im Alter von 63 Jahren verstorben.,Wałtoru jo wón w starstwje 63 lět zemrěł.
Wir müssen den slawischen Charakter bewahren.,Musymy słowjański raz zachowaś.
Sachsen fördert die sorbische Sprache.,Sakska spěchujo serbsku rěc.
Braunkohle- und Steinkohlekraftwerke haben deutlich weniger Strom produziert.,Milinaŕnje za brunicu a kamjeńtny wugel su widnje mjenjej miliny produkowali.
Die Gemeinde muss aus der eigenen Kasse nur rund 3 200 Euro zuzahlen.,Gmejna dej ze swójskeje kasy jano něźi 3 200 pśipłaśiś.
Brandenburgische Juristenausbildungsordnung – BbgJAO (hier: Abschnitt 3),Bramborska kazń za wuwucenje juristow  – BbgJAG (how: póstawk 3)
"Luchse erreichen ein Alter von 15 Jahren, im Tiergarten bis 20.","Ryse dojśpiju starstwo wót 15 lět, w zwěrjeńcu do 20."
Nach Möglichkeit in den Sommerferien will man das Vorhaben umsetzen.,Pó móžnosći w lěśojskich prozninach kśě pśedewześe zwopšawdniś.
Im Jahr 1935 wurde die Feuerwehr in Trebendorf gegründet.,W lěśe 1935 su wognjowu woboru w Trjebinje załožyli.
Die kleine Maus kam ganz grillig ins Haus angerannt.,Mała myška jo pśileśeła  ceło nykata do domu.
Judas fragt Jesus.,Judaš se Jezusa pšaša.
Döhlen ist umgeben von vielen Seen und Wäldern.,Delany su wobdane wót wjele jazorow a gólow.
Was sind Ihre zentralen Forderungen?,Co su Waše centralne pominanja?
Das Görlitzer Konzept ist eines der ersten im Freistaat Sachsen.,Zgórjelski koncept jo jaden z prědnych w Lichotnem staśe Sakskej.
Das unterstrich der Bürgermeister in der letzten Gemeinderatssitzung.,To jo pódšmarnuł šołta na zajźonem wobradowanju gmejnskeje rady.
Dieses Liedlein erlernen sorbische Kinder bereits im Kindergarten.,Toś tu pěsnicku zeznawaju serbske źiśi južo w źiśowni.
Auf der Ortenburg in der Spreestadt führt die Ausstellungsstätte regelmäßig Workshops durch.,Na groźe w sprjewinem měsće wótměwa wustajenišćo pšawidłownje źěłaŕnje.
Hauptsächlich geht es um den Begriff Partizipation.,Głownje źo wó zapśěgnjenje participacija.
Heute hat der Schornsteinfeger noch viele weitere Aufgaben. ,Cazaŕ ma źinsa hyšći wjele dalšnych nadawkow. 
Vor 70 Jahren wurde das Sorbische Gymnasium in Bautzen gegründet.,Pśed 70 lětami jo se Serbski gymnazij w Budyšynje załožył.
•  Gesetz über das Zentralregister und das Erziehungsregister (Bundeszentralregistergesetz - BZRG),•  Kazń za zwězkowy centralny register (BZRG
Genau das Gegenteil ist notwendig.,Rowno to nawopacne jo trjebne.
Die Leistungen müssen medizinisch notwendig und ärztlich verordnet sein. ,Taka pódpěra musy byś medicinski trjebna a wót gójca pśikazana. 
Dort kämpfen wir gemeinsam gegen Rassismus und Faschismus.,Tam wójujomy zgromadnje pśeśiwo rasizmoju a fašizmoju.
In den Prozess werden unter anderem auch einheimische Unternehmen und Kommunen eingebunden.,Do procesa zawězuju mjazy drugim teke domorodne pśedewześa a komuny.
12058023001000 Ausnahmebewilligung zur Eintragung  in die Handwerksrolle Erteilung,12058023001000 Wuwześne pśizwólenje zapisanja do rucnikaŕskeje rule - wuźělenje
Ebenso werden die Flüsse und Bäche durch Freizeitangler genutzt.,Teke w rěkach a rěckach  wuźarje  we wólnem casu wuźe.
WUHLADKO ist dort gewesen!,WUHLADKO jo tam póbyło!
Eine Sorbin leitet die Mannschaft als Trainerin.,Serbowka nawjedujo mustwo ako trenaŕka.
Überhaupt hatte das Amt 101 in Bautzen Vollzeitäquivalente.,Scełego jo měło zastojnstwo  w Budyšynje 101 cełocasowych ekwiwalentow.
Manchmal reicht es eben nicht die gleiche Sorge immer wieder nur höflich zu wiederholen.,Wótergi wšak njedosega samsku starosć pśecej zasej jano zdwórliwje wóspjetowaś.
"Deshalb kann man hundertprozentig sagen, dass die Bedingungen noch nicht gut sind.","Togodla móžoš stoprocentojski groniś, až wuměnjenja hyšći njejsu dobre."
Nimm mich an und segne mein Vorhaben.,Pśiwzej mě a žognuj mójo wótmyslenje.
"Dafür haben wir das Zusatzmaterial ""Schritt für Schritt"" entwickelt.","Za to smy pśidatny material ""Kšac pó kšacu"" wuwijali."
Nach dem Studium war er Vikar der Evangelisch-Lutherischen Taborgemeinde in Leipzig-Kleinzschocher.,Pó studiju jo był wikar ewangelsko-lutherskeje Taborskeje wósady w Lipsku-Kleinzschocheru.
Jetzt verlässt sie den Bundestag in Berlin.,Něnto spušćijo wóna zwězkowy sejm w Barlinju.
"So haben wir das Recht, uns zu unserem Glauben zu bekennen.","Tak mamy pšawo, se k našej wěrje wuznawaś."
"Sie fanden, dass die Gemeinde das Ortszentrum nicht verscherbeln darf.","Wóni su měnili, až njeměła gmejna wejsny centrum rozbrojś."
Nie habe man ihn zu Entscheidungen gedrängt.,Žednje njejsu jogo k rozsudam gnali.
Wie sie nun aus Angst kreischen und schreien und jammern!,Kak něnto  tšach dla škjarce a se źeru a žałosće!
Der Bundesvorstand hat den Appell des Regionalverbandes Niederlausitz zur Kenntnis genommen.,Zwězkowe pśedsedaŕstwo jo apel župy Dolna Łužyca na wědobnje brało.
Mit dem Strukturwandel im Braunkohlerevier wird im Norden Neues entstehen.,Ze strukturneju změnu w brunicowem rewěrje nastano na pódpołnocy  něco nowego.
für natürliche Personen: ,za pśiroźbne wósoby: 
Jedes Jahr wird am letzten Sonntag des März die Zeit umgestellt.,Kužde lěto se na slědnej njeźeli nalětnika cas pśestaji.
"Harry, das ist er ja selber.","Harry, to jo wón sam."
Einwanderer aus Mexiko haben es in den USA nicht leicht.,Pśiśěgowarje z Mexika njamaju se w USA lažko.
Der MDR als Hauptproduzent ermöglicht das nicht.,MDR ako głowny producent to njezmóžnijo.
Die drei Kinder sitzen unter einem Baum.,Tśi źiśi su dojěli a sejźe něnto pód bomom. 
"Jeden Tag muss man seine gesamte Kleidung waschen, schimpfte sie.","Kuždy źeń musym jogo cełu drastwu pałkaś, jo  wóna mjenała."
Ostern ist das Fest der Auferstehung.,Jatšy su swěźeń zrowastanjenja.
Er hat den Beinamen „der Eiferer“.,Wón ma pśimě „gjarźiwc“.
"Wenn jemand versucht sich dem Hund zu nähern, verschwindet er hinter dem Gebüsch.","Wopytajo-lic něchten  se psoju pśibližyś, zgubijo se za krickami."
Er hatte eine klare Botschaft an Ministerin Stange.,Wón jo měł jasne pósołstwo ministaŕce Stange.
Für die Einwohner von Lauchhammer sieht die Situation ganz anders aus.,Za wobydlarjow Lauchhammera wuglěda situacija cele hynac.
