de,hsb
Manchmal wirkt er fast etwas orientierungslos.,Druhdy skutkuje nimale trochu bjez orientacije.
Maßnahmen für die Zwischenmoore erfolgen im Krüppelkiefernwald bei Zeisholz.,Naprawy za přechodne bahna přewjedu so w sprašiwjenej chójninje pola Ćisowa.
Fahren wir heute mit dem Moped?,Pojědźemy dźensa z mopedom?
Der genaue Verlauf der Zonengrenzen hängt von den Abgrenzungskriterien ab.,Dokładny přeběh pasmowych hranicow wotwisuje wot wotmjezowanskich kriterijow.
Gestern haben wir den Bau der neuen Bühne vollendet.,Wčera smy twar noweho jewišća dokónčili.
Den Urlaub verbringen wir in Mähren in Tschechien.,Dowol dožiwimy na Morawje w Čěskej.
"Geschieht dies beim Autofahren, sind die Folgen meistens fatal.","Stanje-li so to při wodźenju awta, su sćěhi zwjetša fatalne."
"Nicht nur, dass die Ukraine nur zögerlich unterstützt wird.","Nic jenož, zo so Ukraina jenož dlijo podpěruje."
Die meisten Wissenschaftler halten nicht viel von ihrer Entdeckung.,Wjetšina wědomostnikow njedawa wjele na waše wotkryće.
Wir steigen in New York ins Flugzeug ein und fliegen nach Berlin.,Zalězemy w New Yorku do lětadła a polećimy do Berlina.
Man sollte mit diesen Wesen immer auf gutem Fuße stehen.,Dyrbjeli z tutymi bytosćemi přeco w dobrych poćahach stać.
Die Heizung bedient sich also der Wärme des vulkanischen Grundes.,Tepjenje wužiwa potajkim ćopłotu wulkaniskeho dna.
Die angeheuerten Handwerker begannen sofort mit der Renovierung.,Najimani rjemjeslnicy započachu hnydom z ponowjenjom.
Krzemiński moderierte hier sehr kundig.,Krzemiński moderěrowaše tu jara wustojnje.
Dass sich ihnen die vertrackte Logik seiner Geschichte unmittelbar erschließt.,Zo so jim zašmjatana logika jeho stawiznow bjezposrědnje wotkrywa.
Standgeräte können frei im Raum stehen.,Postojne nastroje móža swobodnje w rumje stać.
Eine Übersicht über Herbstkonzerte finden Sie unter XY.,Přehlad wo nazymskich koncertach namakaće pod XY.
Zu den Zielen der häuslichen Krankenpflege gehören folgende:,K zaměram domjaceho hladanja chorych słušeja slědowace:
Zum Saisonstart findet im Spreewald traditionell eine „Rudelübergabe“ statt.,Při starće sezony wotměje so w Błótach tradicionelnje „přepodaće wjesła“.
Durch Audiosignale gesteuerte digitale Assistenten verarbeiten Sprachbefehle des Nutzers.,Přez awdijosignale wodźeni digitalni asistenća předźěłuja rěčane přikazy wužiwarja.
Und die Preise müssen strahlen.,A myta dyrbja wuprudźić.
Wartha: Die Oberlausitzer Heide- und Teichlandschaft erwartet viele Besucher.,Stróža: Hornjołužiska hola a haty wočakuje mnoho wopytowarjow.
Dies ist das quadratisch geformte Ende einer Welle oder des Federkerns.,To je kwadratisce formowany kónc wale abo pjeroweho jadra.
"Vielleicht ist das der eigentliche Defekt von uns Italienern: Wir verstehen es nicht, grausam zu sein.",Snano je to poprawny defekt nas Italčanow: Njemóžemy surowi być.
Sie könnte sich mit ihrer Partnerin austauschen.,Wona móhła so ze swojej partnerku rozmołwjeć.
Ein Thema heute war auch ein neues Logo des Dachverbands.,Tema dźensa běše tež nowy logo třěšneho zwjazka.
Unter anderem werteten sie die Zusammenarbeit aus.,Mjez druhim wuhódnoćichu zhromadne dźěło.
Die Eltern sind volljährig oder ihre gesetzlichen Vertreter stimmen der Sorgeerklärung zu.,Staršej staj połnolětnaj abo jeju zakonscy zastupjerjo přihłosuja zastaranskej deklaraciji.
Termin und Ort der Verlosung werden noch bekanntgegeben.,Termin a městnosć wulosowanja so hišće wozjewitej.
Die Kassenärztliche Vereinigung Sachsen zeigt sich alarmiert.,Zjednoćenstwo kasowych lěkarjow Sakska pokaza so alarměrowane.
Sie hatten dort für Kinder ein gutes Programm.,Mějachu tam za dźěći dobry program.
Ihr weiteres Bestehen ist uns sehr wichtig.,Jich dalše wobstaće je nam jara wažne.
"Wie es IHM geht, willst du wissen?","Kak so JEMU wjedźe, chceš wědźeć?"
Dann sprich uns an und warte nicht lange!,Potom nas narěč a nječakaj dołho!
Die Mehrheit von ihnen ist noch sorbischsprachig oder hat sorbische Wurzeln.,Wjetšina z nich je hišće serbowaca abo ma serbske korjenje.
Herzlich willkommen zu unserem Vortrag über Esoterik.,Wutrobnje witajće na naš přednošk wo esoterice.
Es besteht so gut wie keine Gefahr eines Erdbebens.,Njewobsteji nimale žadyn strach zemjerženja.
In welchen könnte die Individualität einer einzelnen Erzieherin ein Vorteil sein?,W kotrych móhła indiwidualnosć jednotliweje kubłarki lěpšina być?
Gemeinsam entscheiden wir uns für einen Flug mit dem Hubschrauber über diese wunderschöne Landschaft.,Zhromadnje rozsudźimy so za lět z helikopterom nad krasnej krajinu.
"Er tastet die Leiste ab und prüft, ob dort etwas vorguckt.","Masa na słabinu a pruwuje, hač tam něšto won kuka."
Alle schnappen sich Fahrräder und fahren ins Dorf.,Wšitcy hrabnu sej kolesa a jědu do wsy.
"Man wolle Europa helfen, seine gegenwärtige Laufbahn zu verlassen.","Chcyli Europje pomhać, jeje tučasne wuwiće wopušćić."
Die AOK übernimmt einen Großteil der Kosten für die häusliche Krankenpflege.,AOK přewozmje wulki dźěl kóštow za domjace hladanje chorych.
Diese drei Sternzeichen finden jetzt neue Stärke.,Tute tři hwězdne znamjenja namakaja nětko nowu sylnosć.
"Hier war Marzipan so kostbar, dass er nur Fürsten zugänglich war.","Tule běše marcipan tak žadny, zo bě jenož wjercham přistupny."
Ich muss kacken.,Dyrbju kakać.
"Auch häufigere Koliken, blutiger Durchfall oder Verstopfung sind möglich.","Tež časćiše koliki, krawa židlawa abo zatykanje su móžne."
"Adenauer brauchte also, um Kanzler zu werden, Koalitionspartner.","Adenauer trjebaše potajkim, zo by so z kanclerom stał, koaliciskich partnerow."
Der Boden stellt einen entscheidenden Bestandteil aller natürlichen Stoffkreisläufe dar.,Póda je rozsudny wobstatk wšěch přirodnych maćiznowych kołoběhow.
"Daten, Bilder und Nachrichten werden in Sekundenschnelle im Internet übertragen.","Daty, wobrazy a powěsće so za wokomik w interneće přenjesu."
Der erarbeitete Lohn wird dann gespendet.,Nadźěłana mzda so potom dari.
Ohne eine grundlegende Operation droht Patienten ein chaotischer Niedergang ihrer stationären Versorgung.,Bjez zakładneje operacije hrozy pacientam chaotiski spad jich stacionarneho zastaranja.
"„Ich glaube, Merz muss Hamlet widerlegen“, schreibt Ivan Krastev.","„Myslu sej, Merz dyrbi Hamlet wuwróćić“, pisa Ivan Krastev."
Auch die Crostwitzer Blasmusikanten feiern in diesem Jahr ein Jubiläum.,Tež Chróšćanscy muzikanća swjeća lětsa jubilej.
Der Vulgärmarxismus lässt grüßen.,Wulgarny marxizm praji wjele dobreho.
Tatoeba ist ein Schatzkästchen des Wissens und der Weisheit.,Tatoeba je pokładowy kašćik wědy a mudrosće.
"Wenn es regnerisch ist, wird das Bergsteigen abgesagt.","Hdyž je dešćikojte, budźe so krosnowanje wotprajić."
Indien ist das größte und bedeutendste Land der Region.,Indiska je najwjetši a najwuznamniši kraj regiona.
Das sagte der Hauptgeschäftsführer des Paritätischen Wohlfahrtsverbandes Berliner Journalisten.,To rjekny hłowny jednaćel Paritetiskeho dobroćelstwoweho zwjazka Berlinskim nowinarjam.
Die Gewerkschaften fordern fünf Prozent mehr Geld im laufenden Jahr.,Dźěłarnistwa žadaja sej pjeć procentow wjace pjenjez za aktualne lěto.
"Husch, husch ins Bad!","Huš, huš do kupjelnje!"
Ein Hinweis noch: Unser Kollegium hat vielfältige Aufgaben und tägliche Verpflichtungen.,Pokiw hišće: Naš kolegij ma mnohostronske nadawki a wšědne winowatosće.
Nach einigen Clubkonzerten trat SkiAggu auch auf einigen Festivals auf.,Po někotrych koncertach w klubach wustupi SkiAggu tež na někotrych festiwalach.
Die Kinder gingen dorthin.,Dźěsći tam chodźeštej.
"Darauf angesprochen, würde sie empört zurückweisen, das gemeint zu haben.","Narěčana na to, by rozhorjena wotpokazała, zo je to měniła."
Dafür muss Europa dauerhaft gerüstet sein.,Za to dyrbi Europa trajnje přihotowana być.
Dieser will nun beginnen aus nicht verbrauchtem Bier eine hochprozentige Innovation herzustellen.,Tón chce nětko započeć z njepřetrjebaneho piwa wysokoprocentowu inowaciju zhotowić.
"Diese wären nicht nur kostengünstig, sondern auch jederzeit verkäuflich.","Tute njebyli jenož małonałožne, ale tež kóždy čas na předań."
Hinterher wollen wir noch Essen gehen.,Po tym chcemy hišće k jědźi hić.
Ich bin gerade erst herfahren.,Sym sej runje hakle sem dojěł.
"Siehst du auch, welche Wolken meist Niederschlag verursachen?","Widźiš tež, kotre mróčele zwjetša spadki zawinuja?"
Die Gewöhnliche Schafgarbe wächst am Straßenrand.,Wowča rutwica rosće na kromje pućow.
Schreibe einen Zeitungskommentar zu den Bestimmungen des Westfälischen Friedens.,Napisaj nowinarski komentar wo postajenjach Westfalskeho měra.
"Das alles ist geeignet, Trumps Vorbehalte gegen überstaatliche Organisationen zu bestätigen.","To wšo je kmane, wobmyslenja Trumpa napřećo nadstatnym organizacijam wobkrućić."
"Er trug eine Maske, sodass ihn niemand erkennen konnte.","Wón nošeše masku, tak zo jeho nichtó spóznać njemóžeše."
Urban grüßte sie von weitem und ging zügig weiter.,Urban strowješe jich wotdaloka a dźěše zasobu dale.
"Nachdem sie den Vater erblickten, liefen sie zu ihm und umarmten ihn.",Nana wuhladawši běžeštaj k njemu a jeho wobjimaštaj.
"Ich musste mich natürlich steigern, ohne jeden Zweifel.","Dyrbjach so wězo stopnjować, bjez kóždeho dwěla."
Hier hüten Hirten ihre Schafe.,Tu pastyrjo swoje wowcy pasu.
Zuschreibungen dieser Art machen Figuren lebendig.,Připisanja tajkeho razu zbudźa figury k žiwjenju.
Mit welchem sorbischen Dichter war Korla Awgust Kocor eng befreundet?,Z kotrym serbskim basnikom bě Korla Awgust Kocor blisko spřećeleny?
Lange aber hat der Onkel nicht mehr Hand angelegt.,Dołho pak so wuj njeje hižo gratu přimał.
Bald will er das Material den Erzeugern von Batterien und Fahrzeugen zuschicken und anbieten.,Bórze chce material producentam baterijow a jězdźidłow připósłać a poskićić.
"History matters, und zwar auch über sehr lange Zeiträume hinweg.","History matters, a to tež přez jara dołhe časowe wotrězki prěki."
"Es wird empfohlen, sich rechtzeitig mit dem zuständigen Sozialamt in Verbindung zu setzen.","Doporuči so, sčasom z přisłušnym socialnym zarjadom do zwiska stupić."
"Der Himmel ist blau und unendlich, in der Ferne rufen Möwen.","Njebjo je módre a njeskónčne, w dalinje wołaja tonuški."
"So weit, so schräg.","Tak daloko, tak křiwje."
"Glaubst Du, Tom wird uns nächsten Sommer besuchen kommen?","Wěriš Ty, zo budźe Tom nas přichodne lěćo wopytać?"
"Für den Geschäftsführer ist das nicht nur ein geografischer Akt, sondern auch eine Erleichterung.","Za jednaćela njeje to jenož geografiski akt, ale tež wolóženje."
Beide flog ein zu Hilfe gerufener Rettungshubschrauber ins Krankenhaus.,Wobeju dowjeze na pomoc zwołany wuchowanski helikopter do chorownje.
Tom hat nur zu besonderen Anlässen einen Anzug an.,Tom nosy jenož k wosebitym składnosćam woblek.
Gerade das könnte freilich von Vorteil sein.,Runje to móhło wězo wužitne być.
Die Leiste beschreibt die Übergangszone zwischen Bauch und Oberschenkel.,Słabina wopisuje přechodnu conu mjez brjuchom a nadkolenom.
"Bitte gebt mir bis zum [RSVP-Datum] Bescheid, ob ihr kommen könnt.","Prošu zdźělće mi hač do [RSVP-datum], hač móžeće přińć."
„Wir haben uns ja ach ewig nicht gesehen“!,„My wšak so ach wěčnje widźeli njejsmy“!
À propos kriegstüchtig: Das Wort „tüchtig“ hat wenig Aggressives.,À propos wójnokmany: Słowo „kmany“ ma mało agresiwneho.
Besonders im Kindesalter kann durch eine Nahrungsmittelunverträglichkeit Hyperaktivität ausgelöst werden.,Wosebje w dźěćacej starobje móže so přez njeznjesliwosć žiwidłow hyperaktiwita wuwabić.
Warum haben wir im Frühling gute Laune?,Čehodla smy w nalěću wjesołeje mysle?
"Aufgaben, welche die Identitätsbildung für jeden Einzelnen zum Ziel haben.","Nadawki, kotrež kubłanje identity za kóždeho jednotliwca za zaměr maja."
"Entschuldige bitte, da habe ich dir Unrecht getan.","Wodaj prošu, to sym ći křiwdu načiniła."
Keiner der Partner hat sie gewollt und angestrebt.,Žadyn z partnerow njeje ju chcył a so wo nju prócował.
Wegen gefährlicher Körperverletzung und Diebstahls.,Strašneho zranjenja ćěła a padustwa dla.
Autoritärer geht es wohl wirklich kaum noch.,Awtoritarnišo to drje woprawdźe lědma hišće dźe.
"Ich spürte aber, dass ich ihn nicht überzeugt hatte.","Začuwach pak, zo njeběch jeho přeswědčił."
Für ein gelungenes Backofensteak ist ein gutes Fleischthermometer unerlässlich.,Za poradźeny steak z pjecy je dobry mjasowy termometer njeparujomny.
Dabei wollen sie auch noch soziale Partner einbeziehen.,Při tym chcedźa tež hišće socialnych partnerow zapřijeć.
Dabei ist die Urinmenge oft viel geringer als üblich.,Při tym je mnóstwo moča často wo wjele snadniše hač zwučene.
Auch das Sicherstellen regionaler Aufgaben ist eine Herausforderung unserer Zeit.,Tež zaručenje regionalnych nadawkow je wužadanje našeho časa.
Weiße Strümpfe und schwarze Schuhe runden das Erscheinungsbild harmonisch ab.,Běłe nohajcy a čorne črije napohlad harmonisce wudospołnjeja.
"2. Wanderung: Vorschlag, am Mittwoch, den 25.06. Wanderung auf den Spuren von Pětr Młonk.","2. pućowanje: namjet, srjedu, 25.06. pućowanje po slědach Pětra Młonka."
Damit sollen sogenannte Mikroprojekte gefördert werden.,Z nim maja so tak mjenowane mikroprojekty spěchować.
Sie verhindert eine zu frühe einseitige Spezialisierung auf einzelne Fachgebiete.,Wona zadźěwa přezahemu jednostronskemu specializowanju na jednotliwe fachowe wobłuki.
Wiederkäuer besitzen einen besonderen Aufbau des Verdauungssystems.,Žuwaki wobsedźa wosebity natwar požiwanskeho systema.
Chatbots beeinflussen die Meinungen und Weltanschauungen der Nutzenden.,Chatboty wobwliwuja měnjenja a swětonahlady wužiwacych.
Danach muss es die tägliche Menge durch Futter bekommen.,Po tym dyrbi wone wšědne mnóstwo přez picu dóstawać.
Bild 5: Ihr könnt Nashis Experiment ganz einfach nachmachen.,Wobraz 5: móžeće Nashiny eksperiment cyle jednorje napodobnić.
Mit Headset telefonieren.,Z headsetom telefonować.
Auch in Sachsen treten regionale Unterschiede auf.,Tež w Sakskej jewja so regionalne rozdźěle.
Dabei sind die Fitnesskurse am gefragtesten.,Při tym su kursy na polu fitnesy najbóle požadane.
Das ist indessen die einzige uns verbliebene Möglichkeit der Selbstbehauptung.,To wšak je jenička nam zbywaca móžnosć sebjewobstaća.
In jeder Mannschaft darf ein aktiver Spieler der kreisübergreifenden Ebene antreten.,W kóždym mustwje smě jedyn aktiwny hrajer nadwokrjesneje runiny nastupić.
"Man kann vielleicht nicht sagen, dass Habeck eine Lücke hinterlässt.","Njemóžeš snano rjec, zo Habeck dźěru zawostaji."
"Gut, dass diese Sicht komplett falsch ist.","Derje, zo je tutón wid dospołnje wopačny."
Die Kontrolle der Prozesse umfasst z. B.: Schlachttechnik oder Hygiene.,Kontrola procesow wopřijima na př.: techniku rězanja abo hygienu.
Er wimmert und spricht nur deutsch.,Wón skiwli a rěči jenož němsce.
Wir kennen im Tierreich Ohren in verschiedenen Formen und Größen.,Znajemy w raju zwěrjatow wuši we wšelakich formach a wulkosćach.
Die Zuordnung zu einer Form der Bevölkerungspyramide ist der erste Schritt.,Přirjadowanje k jednej formje pyramidy ludnosće je prěni krok.
Das Gleiche gilt für die Rechtsstellung und den Schutz der Assistenten.,To samsne płaći za prawnisku poziciju a škit asistentow.
Auch in der perfekten Demokratie haben Politiker beträchtliche Spielräume.,Tež w perfektnej demokratiji maja politikarjo nahladne swobody.
"In der Schule ist es verboten, sich aus dem Fenster zu lehnen.","W šuli je zakazane, so z wokna wuchilić."
Einen in ganz Italien bekannten Journalisten nannten sie „jüdisches Schwein“.,Po cyłej Italskej znateho žurnalista mjenowachu „židowske swinjo“.
Lass uns diese Angelegenheit nach dem Mittagessen noch einmal besprechen.,Rozrěčmoj tutu naležnosć po wobjedźe hišće raz.
Zuvor war die Position bundesweit ausgeschrieben.,Do toho bě pozicija po cyłej Zwjazkowej republice wupisana.
"Es gibt wahrscheinlich keine Sprache, die gar keine Lehnwörter hat.","Njeje najskerje žana rěč, kotraž scyła požčonki nima."
"Sie sollten eine familiäre, fast intime Atmosphäre bieten.","Woni měli swójbnu, nimale intimnu atmosferu skićić."
"Wer diese sogenannte Zeitung täglich liest, wird unweigerlich verblöden.","Štóž tute tak mjenowane nowiny wšědnje čita, z wěstosću zbłudni."
"Egal, ob sie Millionen oder nur eine Zehnergruppe Menschen anwenden.",Wšojedne hač ju miliony abo jenož dźesatka ludźi nałožuja.
Die jüngste erfreuliche Nachricht ist die Geburt meiner Cousine gestern Abend.,Njedawna zwjeselaca podawizna je narod mojeje kuziny wčera wječor.
Der heutige französische Staatspräsident hatte ein Projekt.,Dźensniši francoski statny prezident měješe projekt.
"Sie standen für das Projekt „Volkspartei“, das nicht völlig unrealistisch war.","Wonaj steještaj za projekt „ludowa strona“, kotryž njebě dospołnje njerealistiski."
Vorteile und Gefahren der Globalisierung.,Lěpšiny a strachi globalizacije.
"Nenne Gründe, die in Leipzig zu einem Bevölkerungszuwachs führten.","Mjenuj přičiny, kotrež wjedźechu w Lipsku k rozrostej ludnosće."
"Alles weiß, stilvoll dekorierte Weinflaschen, schlichtes aber modernes Ambiente.","Wšitko běle, ze stilom dekorowane winowe bleše, proste ale moderne ambiente."
Nach all dem suche ich im Interview vergeblich.,Za wšěm tym w interviewje podarmo pytam.
"Kann man wirklich lernen, eine Sprache wie ein Muttersprachler zu sprechen?","Móžeš woprawdźe wuknyć, rěč kaž maćeršćinar rěčeć?"
Der Vorteil laut Blatt: Nirgends müsse etwas weggekürzt werden.,Lěpšina po Blaće: Nihdźe njetrjeba so ničo preč skrótšeć.
Ihre Ahnen wohnten gemeindeweit in der Crostwitzer und Nebelschützer Pfarrgemeinde verstreut.,Jeje wótcojo bydlachu po cyłej Chróšćanskej a Njebjelčanskej wosadźe rozbrojene.
"Wenn die Liebe abkühlt, fallen viele kleine Makel erst ins Auge.","Hdyž lubosć wochłódni, padaja mnohe małe njedostatki hakle do wočow."
Den Polen verkauft man nichts.,Polakam ničo njepředawaja.
Beides passt nicht in das offenkundig vormoderne Weltbild von Jarosław Kaczyński.,Woboje njehodźi so do wočiwidnje předmoderneho swětonahlada Jarosława Kaczyńskeho.
Der Stein liegt eingebettet zwischen abgerundeten sogenannten „runden Buckeln“.,"Kamjeń leži zasadźeny mjez skulojćenymi, tak mjenowanymi „kulojtymi horbami“."
Zu Gast war die SpVgg Oßling/Skaska/Wittichenau 2.,Z hosćom bě SpVgg Wóslink/Skaska/Kulow 2.
"Sondern altes und neues Elend, die Hoffnung erloschen.","Ale stara a nowa běda, nadźija wuhasnjena."
Dort errichteten sie eine Übergangsregierung und zwei Staaten entstanden.,Tam postajichu přechodne knježerstwo a dwaj stataj nastaštej.
"Politisch war und ist er der Geist, der stets verneint.","Politisce bě a je wón duch, kiž stajnje z ně wotmołwja."
Der Panamakanal erwirtschaftete 2013 fast acht Prozent des panamaischen Bruttoinlandsprodukts.,Panamaski kanal nadźěła 2013 nimale wosom procentow panamaskeho nutřkokrajneho bruttoprodukta.
"Jeder, mit dem wir uns austauschen, erweitert unseren individuellen Wissensraum.","Kóždy, z kotrymž so rozmołwjamy, rozšěri naš indiwidualny rum wědy."
"Es ist eine weithin anerkannte Tatsache, dass wir Sünder sind.","Je do dalokeje měry připóznata woprawdźitosć, zo smy hrěšnicy."
"Aly bestreitet nicht, dass hier viele Skandale verborgen sind.","Aly njeprěje, zo je tu wjele skandalow schowanych."
So viel isst statistisch gesehen jeder Mensch in Deutschland im Jahr.,Telko zjě po statistice kóždy čłowjek w Němskej na lěto.
Der Projektchor übt schon seit Tagen fleißig.,Projektny chór hižo dny dołho pilnje zwučuje.
Die folgenden Schritte können dir bei deiner Präsentation helfen.,Slědowace kročele móža ći při prezentaciji pomhać.
"Kultur als geschlossenes System, z.B. Literatur, Kunst, Film.","Kultura jako zawrjeny system, na př. literatura, wuměłstwo, film."
Sein Umgangston war kolloquial.,Jeho wobchadny ton bě kolokwialny.
"Es gibt nichts, was besser ist als ein heißes Bad.","Njedawa ničo, štož je lěpše hač horce kupanje."
Damit es in Europa und der Welt bestehen kann.,Zo móhł w Europje a w swěće wobstać.
Von der Stadtmauer hängt eine riesige Palästina-Flagge herab.,Z měšćanskeje murje wisa hoberska chorhoj Palestiny dele.
Sein Tod war so sicher wie das Amen in der Kirche.,Jeho smjerć bě tak wěsta kaž hamjeń w cyrkwi.
"Die Nachfrage übersteigt das Angebot bei weitem, teilte die Bertelsmann Stiftung nach einer Untersuchung mit.","Naprašowanje přesaha poskitk zdaloka, zdźěli Bertelsmannowa załožba po přepytowanju."
Es ist aber nicht nur der Zwang der Verhältnisse am Werk.,Njeskutkuje pak tu jenož ćišć poměrow.
Und auch der Sächsische Rechnungshof hat die Zahlungen öffentlich kritisiert.,A tež Sakski zličbowanski zarjad je płaćenja zjawnje kritizował.
"Wären nicht auch die SPD, die Grünen oder die freiheitlichen Liberalen infrage gekommen?","Njebychu tež SPD, Zeleni abo swobodni liberalni do prašenja přišli?"
Sie bemüht sich um ihre Aufnahme auf der Liste der UNESCO.,Wona prócuje so wo zapisk tutych na lisćinje UNESCO.
"Häufige Kopf-, Nacken- oder Ohrenschmerzen, ohne erkennbare andere Ursache.","Časte bolenje hłowy, tyła abo wuši, bjez spóznajomneje druheje přičiny."
Hast was für Musik übrig?,Rodźiš hudźbu?
Bei den 55- bis 64-Jährigen: Auswirkungen des Zweiten Weltkrieges.,Pola 55- do 64-lětnych: wuskutki Druheje swětoweje wójny.
Als Kissen hatte sie sogar seinen Rucksack mit allen seinen Sachen.,Jako zawk měješe samo jeho nachribjetnik ze wšitkimi swojimi wěcami.
Auch das Ballett des Sorbischen Nationalensembles wird in der Ruine der Mönchskirche auftreten.,Tež balet Serbskeho ludoweho ansambla wustupi w ruinje Mnišeje cyrkwje.
Im Schlafzimmer links neben dem Bad schlafen Mutti und Vati.,W spanskej stwě nalěwo pódla kupjelnje spitaj mama a papa.
Meistens sind Jungvögel oder auch Eichhörnchen nicht allein.,Zwjetša njejsu młode ptački abo tež wjewjerčki same.
Die Kultur beeinflusst unser Denken.,Kultura wobwliwuje naše myslenje.
"Bitte beachten Sie, die hier genannte Berechnung dient nur dem besseren Verständnis.","Prošu wobkedźbujće, tu mjenowane wobličenje słuži jenož lěpšemu zrozumjenju."
Sitzung der Kirchenversammlung in der Kathedrale von Trient: Charakterisiere die Darstellung.,Posedźenje cyrkwinskeje zhromadźizny w katedrali Trienta: Charakterizuj zwobraznjenje.
Oft lassen sich diese Systeme von überall aus steuern.,Husto hodźa so tute systemy wot hdźežkuliž sem wodźić.
"Wenn nötig, auch gegen die vorherrschende öffentliche und die „Volksmeinung“.","Je-li trjeba, tež přećiwo dominowacemu zjawnemu a „ludowemu měnjenju“."
Eine effiziente Verwaltung ist die Grundlage für einen guten Haushaltsplan.,Eficientny zarjad je zakład za dobry hospodarski plan.
Die Linke war in das Feindbild Strauß geradezu vernarrt.,Lěwica bě do njepřećelskeho wobraza Straußa runjewon kaž błazn zahladana.
Zu einem deftigen Abendessen gehörte Zigeunerquark.,K jaknej wječeri słušeše cyganski twaroh.
Der Direktor ließ seinen Sekretär eine Stunde früher gehen.,Direktor da swojemu sekretarej hodźinu prjedy hić.
Das kann ich nicht glauben!,To so mi nochce wěrić!
"Die einen gaben der Disruption den Namen Revolution, die anderen nannten sie nationale Revolution.","Prěnjej dawaštaj disrupciji mjeno rewolucija, tamnaj mjenowaštaj ju narodna rewolucija."
"Gott, wir bitten dich um Trost und Zuversicht auf dem weiteren Weg.","Božo, prosymy će wo tróšt a dowěru na dalšim puću."
Kreativ Sorbisch lernen.,Kreatiwnje serbšćinu wuknyć.
Die Schutzbedürftigkeit anderer auf Dauer angelegter Lebensgemeinschaften wird anerkannt.,Potrěbnosć na škit druhich trajnje zapołoženych žiwjenskich zhromadźenstwow so připóznaje.
Die Wände verlieren allmählich ihre weiße Farbe und werden gelb.,Sćěny pozhubjeja swoju běłu barbu a bywaja žołte.
"Vorräte auszumisten, ist ebenfalls sinnvoll.","W naběrkach porjadk činić, je tohorunja zmysłapołne."
Nach meinem Gefühl hier mehr als anderswo.,Po mojim začuću tu bóle hač druhdźe.
Zu den erklärten Zielen des MoSaiKTeiL-Projekts gehören die folgenden Punkte.,Do zjawnych zaměrow projekta MoSaiKTeiL słušeja slědowace dypki.
"Eine Trendumkehr ist nicht in Sicht, denn es gibt keine irgendwie geartete rot-grüne Mehrheit mehr.","Přewrót trenda njeje widźeć, wšako někajkeje čerwjeno-zeleneje wjetšiny hižo njeje."
"So stark werden wir doch wohl sein, um Gottes willen auf solches Fleisch zu verzichten.","Tak sylni drje budźemy, božedla so tajkeho mjasa wzdać."
Der Name seint mir bekannt!,Mjeno zda so mi znate!
Ich mag das Geräusch des Regens auf dem Dach.,Mam šum dešćika na třěše rady.
In der Arbeit beschreibt sie die Herrnhuter Brüder-Unität von ihren Anfängen an.,W dźěle wopisuje wona Ochranowsku bratrowsku jednotu wot swojich spočatkow.
"Als sie eine ganze Zeit lang so vorgetragen und gelernt hatten, sagte das Hühnchen.","Hdyž běchu cyły čas takle přednošowali a wuknyli, praji kokoška."
Schnell nimmt er die Wasserspritze und spült Milenkas Mund aus.,Spěšnje wozmje sej wodowu pryskawu a wupłoka Milencynu hubu.
In jede nur denkbare Richtung.,Do kóždeho jenož předstajomneho směra.
Das funktioniert ähnlich wie beim Ultraschall.,To funguje podobnje kaž pola ultrazwuka.
"Das Mädchen, welches gerade zur Tür hereinkommt, kommt immer zu spät.","Holca, kotraž runje z durjemi nutř dźe, so přeco zapozdźuje."
Aus Schwerin waren ebenfalls Demonstrationsteilnehmer gekommen.,Ze Zwěrina běchu tohorunja wobdźělnicy na demonstraciji přijěli.
Unsere Erde bezieht fast ihre gesamte Energie von der Sonne.,Naša zemja dóstawa nimale wšu swoju energiju wot słónca.
"Herr Präsident, Herr Hoher Vertreter, werte Kolleginnen und Kollegen!","Knježe prezidento, knježe wysoki zastupjerjo, wažene koleginy a waženi kolegojo!"
Habeck dagegen betreibt die Poetisierung der politischen Sprache.,Habeck porno tomu prakticěruje poetizowanje politiskeje rěče.
Es ist inzwischen als Suffix einer gewissen Systematik bekannt.,Wone je mjeztym jako sufiks wěsteje systematiki znate.
Gesundheitsministerin Nina Warken (CDU) will das verhindern.,Ministerka za strowotnistwo Nina Warken (CDU) chce tomu zadźěwać.
Ende des Monats will die Bundesregierung ein Papier mit Maßnahmen vorlegen.,Kónc měsaca chce zwjazkowe knježerstwo papjeru z naprawami předpołožić.
Der schnellste Tischtennisschlag wurde von Vladimir Samsonov gemacht.,Najspěšniši blidotenisowy dyr bu wot Vladimira Samsonova činjeny.
"Bohnen unter frischem Wasser abspülen, dann kochen.","Buny pod čerstwej wodu wotpłokać, potom warić."
Die Giftkröte sondert über ihre Hautdrüsen ein starkes Toxin ab.,Jědojta krokawa wuměsuje přez swoje kóžne žałzy sylny toksin.
"Heute leben 1,2 Mio. Menschen in der Euroregion.","Dźensa stej 1,2 mio. ludźi w tutym euroregionje žiwej."
Die richtige Auswertung einer Bevölkerungspyramide ist kompliziert.,Prawe wuhódnoćenje pyramidy ludnosće je komplikowane.
Und alles zusammen soll sagen: Hier ist Gott spürbar.,A wšo dohromady ma rjec: Tu je Bóh čujomny.
"Ich weiß, das wäre schockant, aber auch erforderlich.","Wěm, to by šokantnje, ale tež trěbnje było."
