hsb,dsb
Wón móže na trampolinje hižo cyle wysoko skakać.,Wón móžo na trampolinje južo ceło wusoko skokaś.
Drjebjenje pomazki je pola nas zakazane!,Drobjenje skibki jo pla nas zakazane!
"Bórze zjednoći so z hrjebičku, kotraž ze směra Kašec ćeče.","Skóro zjadnośijo se z groblicku, kótaraž ze směra Kašec běžy."
Přiwšěm widźi radźićelka hišće njerozrisane prašenja.,Weto wiźi raźcowka hyšći njerozwězane pšašanja.
Wona je něhdźe 35 cm wulka a ma wutrobičkate mjezwočo.,Wóna jo něźi 35 cm wjelika a ma wutšobojte woblico.
"Hłowak leži spody mojeje hłowy, tohodla rěka hłowak!","Zagłowk lažy pód mójeju głowu,k a togodla groni se jomu zagłowk!"
Pohórškowe prawo wobsteji w kóždym padźe.,Pšawo na wobśěžkowanje wobstoj w kuždem paźe.
Njehladajo na to wón njepřestawajcy komponowaše a swoje twórby wotpisowaše.,Njeglědajucy na to wón njepśestawajucy komponěrowašo a wótpisowašo swóje twórjenja.
"Nalič, što směš na kompostowu hromadu ćisnyć.","Nalic, co smějoš na kompostowu kopicu chyśiś."
Serbske wosadne popołdnjo přewjeduja w Slepom štyri razy wob lěto.,Serbske wósadne wótpołdnjo pśewjeduju w Slěpem styri raze wob lěto.
Što sće sej jako rentnar na hudźbnym polu předewzał?,Co sćo sebje ako rentnaŕ pśedewzeli na muzikowem pólu?
Komu njebychu hižo z přisłowow znate wulke wrota napadnyli!,Komu njeby južo z pśisłowow znate wjelike wrota nadpadnuli!
"Zapósłancy FDP, AfD a NPD su bjez frakcije.","Wótpósłańce FDP, AfD a NPD su bźez frakcije."
"Ja nygnych z hłowu, hačrunjež jej nutřkownje cyle njepřihłosowach.","Ja som nygnuł z głowu, lěcrownož njejsom jej nutśikownje ceło pśigłosował."
"Snano pušćiš jeho do jstwy, potom móže ći wšo powědać.","Snaź pušćijoš jogo do jśpy, pón móžo śi wšo wulicowaś."
Z wulkomyslnym darom bě energijowy koncern Vattenfall twar pišćelow zmóžnił.,Z wjelikomyslnym darom jo energijowy koncern Vattenfall zmóžnił twaŕ orgelow.
To wšitko wukopa so hakle wjele pozdźišo.,To wšykno jo se akle wjele pózdźej wupokazało.
"Wy chcyšće rady do města jědź, ale njejsće swobodne dóstali.","Wy sćo kśěli rad do města jěś, ale njejsćo licho dostali."
Dwójce wob tydźeń chodźu do fitnessoweho centera.,Dwójce wob tyźeń chójźim do fitnesowego centra.
Wona je sej wječor do wsy ke Kubikowej zwažiła.,Wóna jo se wjacor do jsy ku Kubikowej zwažyła.
"Bosćijej nós běži, dokelž je wonka hižo chětro chłódne.","Bosćijoju nos běžy, dokulaž jo wence južo bejnje chłodno."
Asfaltowa dróha wjedźe dale a wyše na wjeršk kopca.,Asfaltowa droga wjeźo dalej a wušej na wjerašk wušyny.
W radnicy dźěła měšćanosta a stara so wo naležnosće města.,W radnicy źěła šołta a stara se wó nastupnosći města.
Bjez nětko žadanych wotpisanjow by połoženje lěpše było.,Bźez něnto pominanych wótpisanjow by połoženje lěpše było.
1 700 wobydlerjow zhubi swoju domiznu a ma so přesydlić.,1 700 wobydlarjow zgubijo swóju domownju a ma se pśesedliś.
Po tymle puću přińdźe zanjerodźena dnowna woda do Sprjewje.,Pó tej droze pśiźo zanjerěšona spódna wóda do Sprjewje.
Die jungen Menschen heute wollen spontan und flexibel sein.,Młode luźe źinsa kśě byś spontane a fleksibelne.
Hopla!  njefunguje.,Hopla!  njeźěła.
Přewozna łódź Hamburga je so zakomdźiła.,Pśewózna łoź Hamburga jo se wopózdźiła.
Skazać móžeće ju z pomocu tutoho formulara.,Skazaś móžośo ju z pomocu toś togo formulara.
Moja kniha móže tomu snano tež sobu dopomhać.,Móje knigły mógu tomu snaź teke sobu pomogaś.
Lěs móže sněhowe a walankowe lawiny zadźeržeć.,Góla móžo sněgowe lawiny a lawiny z kamuškow zaźaržaś.
Blondinka pokaza na wšě móžne brachi tykowaneho domu.,Blondinka jo pokazała na wše móžne brachy pachanego doma.
"Kuntworjacy spray njeje docyła pomhał, běše tón tuni?"," Spray pśeśiwo pšycam zewšym njejo pomagał, jo był ten tuni?"
Mać a nan w mojej starobje žadyn handy měłoj njejstaj.,Mama a nan njejstej w mójom starstwje měłej žeden handy.
"Z hadrješćom trěju špundowanje, zo so wone jenož tak swěći.","Ze šurowańskeju lapku trěju špundowanje, až se wóno jano tak swěśi."
W tutej dobje nasta tohorunja družina smyčkoweho kwarteta.,W toś tej dobje jo tejerownosći nastała družyna smyckowego kwarteta.
Wone dowjedźe mje tež wróćo do dnjow dźěćatstwa.,Wóno jo mě teke slědk dowjadło do dnjow źiśetstwa.
"Přetož to woznamjenja, digitalne potrjeby spóznać a nałožować.","Pśeto to wóznamjenijo, digitalne pótrjeby spóznaś a nałožowaś."
Spěšnje běchu wobsydstwowe poměry na dobro młodeho mustwa rozrisane.,Malsnje su byli wobsejźeńske poměry rozwězane na dobro młodego mustwa.
"Wohnjowy wobornik pomhaše jimaj, po rěblu dom wopušćić.","Wognjowy wobornik jo jima pomogał, pó jabrju dom spušćiś."
Wólbne lisćiki su doćišćane a wólbne lokale su spřihotowane.,Wólbne lisćiki su śišćane a wólbne lokale su spśigótowane.
Wón bě moderator kulojteho blida Drježdźanskeho wobwoda.,Wón jo był moderator kulowatego blida drježdźańskego wobwoda.
Tute běchu so brunicowych wuhlowych jamow dla zhubili.,Toś te su se zgubili brunicowych jamow dla.
Pytajće w aktualnym wabjenju za tajkimi figurami.,Pytajśo w aktualnem wabjenju za takimi figurami.
Potom woteda wona kapu muža pola přistajeneje bary.,Pótom wótedajo jaku muskego pla pśitajoneje bary.
Sym sej tule prěni raz wšitko nadrobnje wobhladał.,Som sebje how prědny raz wšykno nadrobnje woglědał.
Wój stej dźědowe a wowcyne mazane potajnstwa wšěm prajiłoj.,Wej stej starego nana a stareje mamy njerěšne pótajmstwa wšym groniłej.
Putnikowanje wotmě so pod hesłom „Dźak a próstwa“.,Putnikowanje jo se wótměło pód motom „Źěk a pšosba“.
Wječor połoži wón wšě filmy za wnučki na blido bydlenskeje.,Wjacor jo połožył wšykne filmy za źiśiźiśi na blido bydleńskeje.
"Přemyslujće, na kajke wašnje buchu noty prawdźepodobnje ćišćane.","Pśemyslujśo, na kake wašnje su se noty nejskerjej śišćali."
Tajke kamjenje namakaš njerědko po holanskich wjeskach.,Take kamjenje namakajoš njerědko w gólańskich jsach.
Pückler je tež tworićel Rogeńskeho parka blisko Choćebuza.,Pückler jo teke stwóriśel Rogeńskego parka blisko Chóśebuza.
"„Da no dźiće a pohladajće“, měnješe mać.","„Ga pón jan źiśo a glědajśo ”, jo měniła maś."
Sonar je skrótšenka a rěka sound navigation and ranging.,Sonar jo skrotconka a groni sound navigation and ranging.
Tunknychu pjero do čornidłoweho kónka a potom z nim pisachu.,Su tunknuli pjero do carnidłowego tintnika a pótom su z nim pisali.
Tola tež 2014 maja so dalše personalne městna zalutować.,Ale teke 2014 maju se zežariś dalšne personalne městna.
Sym překwapjeny wo aktiwnym sobuskutkowanju mnohich zajimcow w dźěłowych skupinach.,Som pśechwatany wó aktiwnem sobustatkowanju wjele zajmcow w źěłowych kupkach.
"Hłós dźowki płuwaše wokoło njeho, snano bě to žona Marja.","Głos źowki jo plěwał wokoło njogo, snaź jo to žeńska Maria była."
Wot januara skutkuja woni čestnohamtsce jako zapisane towarstwo.,Wót januara źěłaju cesnoamtski ako zapisane towaristwo.
A tež z njewšědnosćemi bychu ludźo počasu wobchadźeć móhli.,A teke z njewšednosćami by luźe pó casu wobchadaś mógali.
Zdźěla pohibuje so wjednistwo na prawniskej mjezy.,Pó źělach pógibujo se wjednistwo pó pšawniskej granicy.
W pomjatku měješe wuprajenje tehdyšeho Chróšćanskeho fararja Jana Wjenki.,W spomnjeśu jo měł wugronjenje tegdejšego Chrosćańskego fararja Jana Wjenki.
Při spjelnjenju zjawnych nadawkow posłužuje so stat pomocy samozrjadniskich institucijow.,Pśi społnjenju zjawnych nadawkow pósłužujo se stat pomocy samozastojańskich institucijow.
"Biskop Timmerevers měni, zo njeje woteběranje sobustawow žana přičina rezignować.","Biskup Timmerevers měni, až njejo zgubjenje cłonkow žedna pśicyna rezigněrowaś."
Hodźijski farar Christoph Rummel bu jako naslědnik Jana Malinka namjetowany.,Hodźijski faraŕ Christoph Rummel bu naraźony ako naslědnik Jana Malinka.
Jara wobšěrna financna próstwa nětko předleži.,Wjelgin wobšyrna financna pšosba něnto pśedlažy.
Hač do dźensnišeho steji swěčkarnja na ležownosći pódla putniskeje cyrkwje.,Až do źinsajšnego stoj źěłaŕnja swěckow na gruntach pódla putnikaŕskeje cerkwje.
Wot 13 hodź. prezentuje so Slepjanski drastowy region.,Wót zeger 13 prezentěrujo se Slěpjański drastwowy region.
Dźěći móža so skónčnje porjadnje wočerstwić.,Źiśi mógu skóńcnje pórědnje wódychnuś.
Dalše pjekarnje njezamóchu recept tak originalnje kaž pjekar Čamar zwoprawdźić.,Dalšne pjakarje njejsu mógli recept tak originalnje ako pjakaŕ Čamar zwopšawdniś.
"Zwjetša rěčimy jendźelsce, to je rěč, kiž wšitcy zrozumimy.","Zwětšego powědamy engelski, to jo rěc, kótaruž wšykne rozmějomy."
"Blido wotrumować, trawnik syc, wotpadki won donjesć abo tež rjedźić?","Blido wótrumowaś, błomje sec, wótpadanki wen donjasć abo teke cysćiś?"
Korčmarskej dźowce Madleni so čěski pachoł tež lubješe.,Kjarcmaŕskej źowce Madlenje jo se česki pachoł teke spódobał.
"Dźěše do bydlenskeje, čapny so a pomajka kóčku.","Wóna jo šła do bydleńskeje, jo se dukliła a jo hajckała kócku."
To je za njeho zajimawy a diskutabelny namjet.,To jo za njogo zajmne a diskutabelne naraźenje.
"Wona so za durje dźeržeše, zo njeby runowahu zhubiła.","Wóna jo se za źurja źaržała, aby njeby rownowagu zgubiła."
Při tym su młode swójby wěriwych woprawdźe překwapili.,Pśi tom su młode familije wěrjecych napšawdu pśechwatali.
"Čehodla dyrbiš mje mylić, njemóžeš wjac spać?","Dla cogo musyš mě móliś, njamóžoš wěcej spaś?"
Měšćanostka so zaso jasnje přećiwo nowym wumjetowanjam wobara.,Šołtowka se zasej jasnje pśeśiwo nowym wumjatowanjam wobara.
Twoja najstarša ćeta přińdźe z Choćebuza.,Twója nejstarša śota pśiźo z Chóśebuza.
Rozšěrjenje  za mobilne graty k dispoziciji njeje.,Rozšyrjenje  njejo k dispoziciji za mobilne rědy.
Směmy z lětadłom jedne koło nad městom lećeć?,Smějomy z lětadłom jadnu rundu nad městom leśeś?
Hač do kónca junija ma wobšěrny projekt wotzamknjeny być.,Až do kóńca junija ma wobšyrny projekt wótzamknjony byś.
"Samo so zrozumi, zo tež Drježdźanska słužba žana kermuša njebě.","Samo se rozmějo, až teke Drježdźańska słužba njejo žedna kjarmuša była."
Lorenc bě chowanc Praskeho Serbskeho seminara a čłon Serbowki.,Lorenc jo był kubłańc Praskego Serbskego seminara a cłonk Serbowki.
Zašłu njedźelu stejachmoj ze sotru w Bórku při spjatym jězorje.,Slědnu njeźelu smej stojałej ze sotšu w Bórku pśi gaśeńskem jazorje.
Njedawa potajkim žane wosobinske wobsydstwo.,Njedajo pótakem žedne wósobinske wobsejźeństwo.
Wona tamnišim sobudźěłaćerjam w serbskich naležnosćach přidźěłuje a jich poradźuje.,Wóna tamnjejšym sobuźěłaśerjam w serbskich nastupnosćach pśiźěłujo a jich póraźujo.
Moje nanajlěpše přećelki pochadźeja ze Žornosykow.,Móje nanejlěpše pśijaśelki póchadaju ze Žornosykow.
"Jedna karta pokazuje nadrobnosće, druha lěpši přehlad wo wokolinje.","Jadna kórta pokazujo drobnostki, druga lěpšy pśeglěd wó wokolinje."
Wotnajer smě sportowu rumnosć ze sportowymi nastrojemi wužiwać.,Najmaŕ smějo wužywaś sportowu rumnosć ze sportowymi rědami.
Dom móžeše so w lěće 1904 skónčnje poswjećić.,Dom su mógali w lěśe 1904 skóńcnje wuswěśiś.
Zhotowjenje płatow wotměwa so w dwěmaj kročelomaj.,Zgótowanje suknow se wótměwa w dwěma kšacoma.
Jutře je kermuša a žona doma tykancy pječe.,Witśe jo kjarmuša a žeńska pjaco doma tykańce.
Hladam při blidźe stejo na swoje popisane łopjeno.,Glědam pśi bliźe stojecy na swójo pópisane łopjeno.
W mnohich wsach dwurěčneje Łužicy steja dwurěčne wjesne tafle.,We wjele jsach dwójorěcneje Łužyce stoje dwójorěcne wejsne tofle.
Někotre hwězdy widźimy potom přeco jasnišo na njebju hač druhe.,Někotare gwězdy wiźimy pótom pśecej jasnjej na njebju ako druge.
Wona dźěła z regionalnym planowanskim běrowom wusko hromadźe.,Wóna źěła z regionalnym planowańskim běrowom wusko gromaźe.
Moji nanajlěpši přećeljo pochadźeja ze Žičenka.,Móje nanejlěpše pśijaśele póchadaju ze Žičenka.
Kosaj twaritaj sej hnězdo.,Kósa twaritej sebje gnězdo.
Wón molowaše wosebje rady zawrjene a wotewrjene hoberske hady.,Wón mólowašo wósebnje rad zamknjone a wótwórjone wjelicke wuže.
Je delni schodźenk z třećim předmjetom serbšćina studowała.,Jo dolny schójźeńk z tśeśim pśedmjatom serbšćina študěrowała.
"Lucy zastona na swojim kamoru, jednu cyłu dołhu nóc!","Lucy jo na swójej spižce zastukała, cełu noc!"
Wboha Sprjewja wostawa tež w Radušu dale wopor brunicy.,Wuboga Sprjewja wóstanjo teke w Radušu dalej wopor brunice.
Mjeztym su naši nowi sobudźěłaćerjo zadźěłani.,Mjaztym su naše nowe sobuźěłaśerje zaźěłane.
Zasadnje płaća kaznje datoweje zlutniwosće a wobmjezowaneho składowanja.,Zasadnje płaśe kazni datoweje žarjabnosći a wobgranicowanego składowanja.
Wuskutkowachu so tež porodosłabe lětniki z časa Prěnjeje swětoweje wójny.,Wustatkowali su se teke słabe pórodowe lětniki z casa Prědneje swětoweje wójny.
"Hanka, pój raz sem, praj jónu luby a Hanka pospyta.","Hanka, pójź raz sem, groń raz luby a Hanka jo wopytała."
"Wuprajenja wostanu hłownje njezměnjene, ale aktualne poćahi dyrbja přiwšěm trjechić.","Wugronjenja wóstanu głownje njezměnjone, ale aktualne póśěgi muse weto trjefiś."
"Wón je wostać směł, jako započachu při železnicy ludźi pušćeć.","Wón jo směł wóstaś, ako su chapjali pla zeleznice luźi pušćiś."
"Trjebamy po móžnosći wosoby, kotrež su dwurěčnje wotrostli.","Trjebamy pó móžnosći wósoby, kótarež su dwójorěcnje wótrosli."
Tež njemějachmy někajke hłowne zhromadźizny a lisćiny sobustawow.,Teke njejsmy měli někake głowne zgromaźiny a lisćiny cłonkow.
Ratifikacija woznamjenja podpisanje narodoprawniskeho dokumenta přez statneho nawodu.,Ratifikacija wóznamjenijo pódpisanje ludopšawniskego dokumenta pśez statnego wjednika.
"Jeli hišće dołho tam wonka wokoło łažu, wobłudnju.","Gaž tam hyšći dłujko wence wokoło łazym, se znjemudrijom."
"Zawěsće sy hižo cyłu wokolinu wotpytała, kaž će ja znaju.","Zawěsće sy južo wótpytała cełu wokolinu, ako śi znajom."
Hanka by će rady sobu do kolebki połožiła.,Hanka by śi rad sobu do kólebki połožyła.
Do kuchnje zastupiwši hladaše tu a hladaše tam.,Zastupujucy do kuchnje jo how glědał a tam glědał.
Wšako bě sej tak mjenowany „serbski bus“ do Berlina dojěł.,Wšako jo tak pomjenjony „serbski bus“ do Barlinja dojěł.
Zdobom dyrbimy so krok po kroku klimje napřećo neutralniši stać.,Zrazom musymy kšac pó kšacu klimje napśeśiwo neutralnjejše wordowaś.
"Bychmy łželi, hdy bychmy twjerdźili, zo njeje so nastróžił.","My by łdgali, gaby gronili, až njejo se pśeźěsył."
W tuchwilnej sezonje je jón hižo 5000 čołmow wužiwało.,W tuchylnej sezonje jo jen južo 5000 cołnow wužywało.
Přirunować wotpowěduje čłowjeskemu pytanju za objektiwnej wěrnosću.,Pśirownaś wótpowědujo cłowjeskemu pytanju za objektiwneju wěrnosću.
Wodosport je w Drježdźanach na někotrych jězorach móžny.,Wódny sport jo w Drježdźanach na někotarych jazorach móžny.
"Čěske dowolnicy lubuja wosebje kolesowanje, płuwanje a skating.","Česke dowolarje lubuju wósebnje kólasowanje, plěwanje a skating."
Tak spěšnje njemóžu jim scyła knihi donosyć.,Tak malsnje njamógu jim zewšym knigły nanosyś.
"Zestajće k rozdźělnym družinam jabłukow, běrnow a krušwow informaciske łopjeno!","Zestajajśo k rozdźělnym družynam jabłukow, kulkow a kšuškow informaciske łopjeno!"
"Što je so tu wšo stawało, přińdźe jemu do mysli.","Co jo se how wšo stało, jo jomu do mysli pśišło."
Jenož hišće mało ludźi je k dohladowanju mašinow trěbne.,Jano hyšći mało luźi jo k doglědowanju mašinow trjebne.
Nimo toho je molerka Judith Wetzka dźěłarničku poskićiła.,Mimo togo jo mólaŕka Judith Wetzka póbitowała  źěłaŕnicku.
Wón je wčera zaso při switanju z domu šoł.,Wón jo cora zasej pśi switanju z domu šeł.
Swójske dočasne staranje je tež zakonska winowatosć!,Swójske docasne staranje jo teke kazniska winowatosć!
"Hdyž so žane rozjasnjenje njenamaka, zwjetša nowy pospyt dale pomha.","Gaž se žedne wujasnjenje njenamakajo, zwětšego nowy wopyt dalej pomaga."
Wuchadźišćo za to je hłowny motiw prěnjeje sadźby.,Wuchadnišćo za to jo głowny motiw prědneje sady.
Tehdy stejachu z wuwićom serbskorěčnych wučbnych materialijow cyle na započatku.,Tegdy su stojali z wuwiśim serbskorěcnych wucbnych materialijow ceło na zachopjeńku.
W juliju wotmě so poswjećenje noweje ćěłownje pod wulkim wobdźělenjom.,W juliju jo se wótměło wuswěśenje noweje wumarlikownje pód wjelikim wobźělenim.
Mjezy psami su wulke kadle abo dobri běharjo.,Mjazy psami su wjelike kjarle abo dobre běgarje.
Wosebity dźak słuša na tutym městnje sobudźěłaćerkam wotrjada rěčne wuwiće/pedagogika.,Wósebny źěk słuša na toś tom městnje sobuźěłaśeŕkam wótźělenja rěcne wuwiśe / pedagogika.
Po synowych žnjach njechwataše dźěło na polu tak jara.,Pó senowych žnjach njejo źěło na pólu tak wjelgin chwatało.
Jednotka helikopterow 64 ma swoje sydło w badensko-württembergskim Laupheimje.,Jadnotka helikopterow 64 ma swójo sedło w baden-württembergskem Laupheimje.
Wona ma jara rozdźělny rěčny niwow šulerjow wobkedźbować.,Wóna ma na wjelgin rozdźělny rěcny niwow wuknikow źiwaś.
Na 14. aprylu 1942 rano w pjećich započa so akcija.,Na 14. apryla 1942 rano zeger pěśich jo se zachopiła akcija.
Wobhladajće sej tola načasne formy komunikacije: Hdźe serbsku rěč namakamy?,Woglědajśo se nacasne formy komunikacije: Źo namakajomy serbsku rěc?
Ja přewodźach kurwjercha a jeho swójbu na jich pućowanjach.,Ja som pśewóźował kurwjercha a jogo familiju na jich drogowanjach.
W Mnichowje wotmě so demonstracija z wosom tysac wobdźělnikami.,W Mnichowje jo była demonstracija z wósym tysac wobźělnikami.
Wšo to njeje přewažnemu dźělej čłowjestwoweje swójby móžno.,Wšo to njejo pśewažnemu źěloju cłowjeskeje familije móžno.
Dom Boži skića tež rum za to nowe w přitomnosći.,Bóžy dom póbitujo teke rum za to nowe w pśibytnosći.
Dypornak dypa mócnje do štoma a dźěra bywa přeco wjetša.,Źiśelc šneka mócnje do boma a źěra jo pśecej wětša.
Na to spušći pruski hórnistwowy departement skónčnje tute roboty.,Na to jo pšuski górnistwowy departement skóńcnje spušćił toś te bony.
Poddanojo popřestachu dźěłać a so před kurwjerchom pokłonichu.,Słužabniki su wopśestali źěłaś a su se pśed kurwjerchom pókłonili.
W strowym barmowym regionje Klóšterskeje wody namakaš wjele družinow rybow.,W strowem regionje barbow Kloštaŕskeje wódy namakajoš wjele družynow rybow.
"Dachmy tam prowiant a našeho nana, zapakowaneho do poslešća.","Dali smy tam prowiant a našogo nana, zapakowanego do łožyšća."
"Komunalne riziko ma so wobmjezować, zo njeby minus přewysoki był.","Komunalne riziko ma se wobgranicowaś, až njeby minus był pśewusoki."
"Wuměnjenje su přiměrjene, prawidłowne wotewrjenske časy.","Wuměnjenje su pśiměrjone, pšawidłowne wótwórjeńske case."
"Podobnje dźe so priwatnym mějićelam, woni maja sej tež ćežko.","Pódobnje źo se priwatnym wobsejźarjam, wóni maju se teke śěžko."
Tehdom so wšitcy jara za dawno zašłe časy pohanow zajimowachu.,Tegdy su se wšykne wjelgin zajmowali za dawno zajźone case tatanjow.
Moje dalše hobbyje su wudźenje a nurjenje.,Móje dalšne hobbyje su wuźenje a nurjenje.
"Hdźe bě wčera tu móšeń wostajił, zamysli so.","Źo jo cora tu móšynu wóstajił, jo se zamyslił."
"Borelioza, tež Lyme-chorosć mjenowana, rozbudźi so přez borelije, spiralojte bakterije.","Borrelioza, teke Lyme-chórosć pomjenjona, jo zawinowana pśez borelije, spiralne bakterije."
"W uniformje skutkowaše bóle róžkaty, nic tak něžny.","W uniformje jo wuglědał kósćaty, nic tak něžny."
Na papjerje abo na koži nastanu krasne žołte mustry.,Na papjerje abo na kóžy nastanu kšasne žołte mustry.
"Hdyž budu ja wulka, chcu tež princesna być!","Gaž som ja wjelika, cu teke princesna byś!"
Tak su wšitcy spokojom a chwataja z nakupom domoj.,Tak su wšykne spokojom a chwataju z nakupom domoj.
Redakcija hornjoserbskeho wječornika Serbske Nowiny wudawa měsačnu přiłohu w němčinje.,Redakcija górnoserbskego wjacornika Serbske Nowiny wudawa mjasecnu pśiłogu w nimšćinje.
"Předstaj sej raz, mały kolibri waži jenož něšto gramow.","Pśedstaj sebje raz, mały kolibri wažy jano pór gramow."
"Rochlitz podpisa próstwu z małym, rjenje wuformowanym pismom.","Rochlitz jo pódpisał pšosbu z małym, rědnje wuformowanym pismom."
Gremij wuzwoli serbskich rjadnych čłonow Sakskeje do noweje załožboweje rady.,Gremium jo wuzwóliło serbskich pórědnych cłonkow Sakskeje do noweje załožboweje rady.
Ale by tola dawno přilećał a cyłu picu zdypał!,Ale by weto dawno pśileśeł a ceły futer zešnekotał!
"Sym swój cyły ćikot překramosćił, ale ničo namakał.","Som swój ceły cajk pśepytał, ale njejsom nic namakał."
W finalu dyrbješe so mustwo dobyćerjej z Južneho Tirola kłonić.,W finalu jo se musało mustwo dobyśarjeju z Pódpołdnjowego Tirola pókłoniś.
Potom spóznajemy rozdźělne družiny štomow a kerčinow.,Pótom spóznajomy rozdźělne družyny bomow a krickow.
"Konkretnje je předwidźane, jeje dobru wukonitosć čujomnje stopnjować.","Konkretnje jo pśedwiźone, jeje dobru wugbałosć radnje pówušyś."
Wy dariće sej kónc tydźenja w Podstupimje.,Wy pósćiwaśo sebje kóńc tyźenja w Pódstupimje.
W Birminghamje wobkedźbujemy zajimawy započatk při zasowužiwanju nutřkoměšćanskich přestrjenjow.,W Birminghamje wobglědujomy zajmny zachopk pśi zasejwužywanju nutśikoměsćańskich płoninow.
Wón je swobodny docent za serbšćinu a meditaciju z Drježdźan.,Wón jo lichy docent za serbšćinu a meditaciju z Drježdźan.
"Wón steji tak měrnje, kaž by Arnošta wočakował.","Wón stoj tak měrnje, ako by Arnošta wócakował."
Móžu šubuta tež jako domjace zwěrjo dźeržeć?,Mógu šubuta teke ako domacne zwěrje źaržaś?
Mysle k tomu steja w lisće japoštoła Pawoła na Romskich.,Mysli k tomu stoje w lisće pósoła Pawoła na Romarjow.
"Beno, što woznamjenja zapřijeće ""pusta kónčina""?","Beno, co wóznamjenijo zapśimjeśe "" pusta strona ""?"
"Dyrbju generator skónčnje wuměnić, wón hižo zaso bórči.","Musym generator skóńcnje wuměniś, wón južo zasej barcy."
"To wonaj tež sčiništaj, a to pod nimoměry ćežkimi wuměnjenjemi.","To stej teke cyniłej, a to pód mimoměry śěžkimi wuměnjenjami."
"Chcemy Łužicu doprědka přinjesć, a to móžemy jenož zhromadnje.","Comy Łužycu doprědka spóraś, a to móžomy jano zgromadnje."
"Hladach jenož, zo hłowu wyše wody wobchowach.","Som jano glědał, až som swóju głowu wušej wódy wobchował."
Šulska konferenca móže sej jednanski porjad dać.,Šulska konferenca móžo sebje daś jadnański pórěd.
"Ja mam, ale jenož małke tutón raz, prajach ja jemu.","Ja mam, ale jano mały ten raz, som jomu groniła."
"Wona dóstawa wšudźe, hdźež jeje wulkotne klanki předstaja, wulku chwalbu.","Wóna dostawa wšuźi, źož swóje wjelicne pupki pśedstajajo, wjeliku chwalbu."
Haty nastachu před něhdźe pjeć lětstotkami přez čłowjeka.,Gaty su nastali pśed něźi pěś stolěśami pśez cłowjeka.
"Zbožo přichadźa ze wšěch stron, njech će wone stajnje přewodźa.","Gluka pśiźo ze wšych bokow, daś wóno śi stawnje pśewóźujo."
Na foće steji w rynku pjeć žonow w serbskej drasće.,Na fośe stoj w rěźe pěś žeńskich w serbskej drastwje.
"Ach Jano, njeje to krasnje tu na zahrodźe?","Ach Jan, njejo to kšasnje how w gumnje?"
"Nětko tepjachu sylnišo, dyrbjachu pak kedźbować, zo so pěc njepuknje.","Něnto su topili mócnjej, ale musali glědaś, až pjac njebuźo se puknuś."
Tu woswjećichu Chróšćanscy muzikanća swój 40. jubilej.,How su wóswěśili Chrosćańske muzikanty swój 40. jubilej.
"Pančicy-Kukow njejsu jenož srjedźišćo gmejny, ale tež sydło zarjadniskeho zwjazka.","Pančicy-Kukow njejsu jano srjejźišćo gmejny, ale teke sedło zastojnskego zwězka."
"Łužicu su dotal wuspěšnje saněrowali, tola inwestorojo njejsu hišće spokojom.","Łužycu su doněnta wuspěšnje saněrowali, ale inwestory njejsu hyšći spokojom."
Spěšnje wza sej hišće škleńcu k wočomaj a hladaše.,Malsnje jo sebje hyšći głažk k wócyma wzeł a glědał.
"To dyrbju přemyslować, tak wokoło dwaceći tysac eurow.","To musym pśemyslowaś, tak wokoło dwaźasća tysac euro."
Hižo přiwolene brunicowe jamy hišće 15 lět dale dźěłaja.,Južo pśizwólone brunicowe jamy hyšći 15 lět dalej źěłaju.
Wona namaka pokład zahrjebany w zahrodźe.,Wóna jo namakała pókład zaryty w gumnje.
Žiwoch móže pak tež slědy swojich stopow zawostajić.,Žywe byśe móžo pak teke slědy swójich stopow zawóstajiś.
To je tradicionelna serbska kwasna jědź.,To jo tradicionelna serbska swajźbna jěza.
"Psyk bě wjesoły, zo smě swoje nohi znowa porjadnje wuspytać.","Pjas jo był wjasoły, až smějo swóje nogi znowego pórědnje wopytowaś."
Při tutym čisćenskim stopjenju wotstronjeja so tež wolij a tuki.,Pśi toś tom cysćeńskem stopnju se teke wólej a tucne wótpóraju.
W naslědnej diskusiji mějachu přitomni rjad konkretnych naprašowanjow na referenta.,W slědujucej diskusiji su měli pśibytne rěd konkretnych napšašowanjow na referenta.
Zarjadniskeho postajenja k šulskemu zakonjej ma so wot kultusoweho ministerstwa předźěłać.,Póstajenje k šulskej kazni dej se wót kultusowego ministaŕstwa pśeźěłaś.
Ja njejsym jeho chcył do dohladowanskeje rady měć.,Ja njejsom kśěł jogo měś do doglědowańskeje rady.
Mojej dobrej přećelce pochadźatej z Klukša.,Mójej dobrej pśijaśelce póchadatej z Klukša.
"W nalěću maja tež štomy kćenja, nic jenož kwětki!","W nalěśu maju teke bomy kwiśonki, nic jano kwětki!"
Towarstwo podpěruje pastoralnu słužbu we wosadach.,Towaristwo pódpěrujo pastoralnu słužbu we wósadach.
"Wonaj jědźeštaj nimo lěsneho hata, hdźež wišnina we wodźe ležeše.","Wónej stej jěłej mimo gólnego gata, źož jo wišnina we wóźe lažała."
"Mamy něhdźe 25 słodowych receptorow, kotrež na hórke reaguja.","Mamy něźi 25 słoźeńskich receptorow, kótarež na górke reagěruju."
